city,lat,lng,state
Delhi (Delhi),28.61,77.23,Delhi
Mumbai (Mahārāshtra),19.0761,72.8775,Mahārāshtra
Kolkāta (West Bengal),22.5675,88.37,West Bengal
Bangalore (Karnātaka),12.9789,77.5917,Karnātaka
Chennai (Tamil Nādu),13.0825,80.275,Tamil Nādu
Hyderābād (Telangāna),17.3617,78.4747,Telangāna
Pune (Mahārāshtra),18.5203,73.8567,Mahārāshtra
Ahmedabad (Gujarāt),23.0225,72.5714,Gujarāt
Sūrat (Gujarāt),21.205,72.84,Gujarāt
Prayagraj (Uttar Pradesh),25.4358,81.8464,Uttar Pradesh
Belāhi (Bihār),26.4,86.25,Bihār
Nādampālaiyam (Tamil Nādu),11.0125,76.9714,Tamil Nādu
Lucknow (Uttar Pradesh),26.85,80.95,Uttar Pradesh
Kannankulam (Kerala),10.52,76.21,Kerala
Jaipur (Rājasthān),26.9,75.8,Rājasthān
Kottārasshēri (Kerala),10.775,76.651,Kerala
Attadappa (Kerala),11.8689,75.3555,Kerala
Barmhān Kalān (Madhya Pradesh),19.1972,72.9722,Madhya Pradesh
Mirzāpur (Uttar Pradesh),25.146,82.569,Uttar Pradesh
Nāgpur (Mahārāshtra),21.1497,79.0806,Mahārāshtra
Ghāziābād (Uttar Pradesh),28.67,77.42,Uttar Pradesh
Supaul (Bihār),26.126,86.605,Bihār
Vadodara (Gujarāt),22.3,73.2,Gujarāt
Rājkot (Gujarāt),22.3,70.7833,Gujarāt
Vishākhapatnam (Andhra Pradesh),17.7042,83.2978,Andhra Pradesh
Indore (Madhya Pradesh),22.7167,75.8472,Madhya Pradesh
Abhepur (Haryāna),39.41,116.38,Haryāna
Thāne (Mahārāshtra),19.1972,72.9722,Mahārāshtra
Bhopāl (Madhya Pradesh),23.2599,77.4126,Madhya Pradesh
Āgra (Uttar Pradesh),27.18,78.02,Uttar Pradesh
Peyanvilai (Tamil Nādu),8.9,77.9833,Tamil Nādu
Pimpri-Chinchwad (Mahārāshtra),18.6186,73.8037,Mahārāshtra
Patna (Bihār),25.594,85.1376,Bihār
Bilāspur (Chhattīsgarh),22.09,82.15,Chhattīsgarh
Ludhiāna (Punjab),30.91,75.85,Punjab
Madurai (Tamil Nādu),9.9252,78.1198,Tamil Nādu
Jamshedpur (Jhārkhand),22.7925,86.1842,Jhārkhand
Nāsik (Mahārāshtra),19.9975,73.7898,Mahārāshtra
Vijayavāda (Andhra Pradesh),16.5193,80.6305,Andhra Pradesh
Farīdābād (Haryāna),28.4211,77.3078,Haryāna
Najafgarh (Delhi),28.6125,76.9847,Delhi
Meerut (Uttar Pradesh),28.98,77.71,Uttar Pradesh
Jabalpur (Madhya Pradesh),23.1667,79.9333,Madhya Pradesh
Kalyān (Mahārāshtra),19.24,73.13,Mahārāshtra
Vasai-Virar (Mahārāshtra),19.47,72.8,Mahārāshtra
Pānīpat (Haryāna),29.3875,76.97,Haryāna
Vārānasi (Uttar Pradesh),25.3189,83.0128,Uttar Pradesh
Kalleli (Kerala),9.2807,76.8697,Kerala
Srīnagar (Jammu and Kashmīr),34.09,74.79,Jammu and Kashmīr
Aurangābād (Mahārāshtra),19.88,75.32,Mahārāshtra
Dhanbād (Jhārkhand),23.7998,86.4305,Jhārkhand
Amritsar (Punjab),31.64,74.86,Punjab
Alīgarh (Uttar Pradesh),27.88,78.08,Uttar Pradesh
Guwāhāti (Assam),26.1722,91.7458,Assam
Hāora (West Bengal),22.58,88.3294,West Bengal
Rānchi (Jhārkhand),23.36,85.33,Jhārkhand
Gwalior (Madhya Pradesh),26.2125,78.1775,Madhya Pradesh
Chandīgarh (Unknown),30.75,76.78,
Jodhpur (Rājasthān),26.28,73.02,Rājasthān
Raipur (Chhattīsgarh),21.2444,81.6306,Chhattīsgarh
Kota (Rājasthān),25.18,75.83,Rājasthān
Bareilly (Uttar Pradesh),28.3667,79.4306,Uttar Pradesh
Coimbatore (Tamil Nādu),11.0008,76.9633,Tamil Nādu
Solāpur (Mahārāshtra),17.68,75.92,Mahārāshtra
Hubli (Karnātaka),15.3502,75.1376,Karnātaka
Mysore (Karnātaka),12.3086,76.6531,Karnātaka
Trichinopoly (Tamil Nādu),10.7903,78.7047,Tamil Nādu
Morādābād (Uttar Pradesh),28.8319,78.7764,Uttar Pradesh
Tiruppūr (Tamil Nādu),11.1085,77.3411,Tamil Nādu
Gurgaon (Haryāna),28.456,77.029,Haryāna
Jalandhar (Punjab),31.326,75.5762,Punjab
Bhubaneshwar (Odisha),20.27,85.84,Odisha
Narela (Delhi),28.85,77.1,Delhi
Bhayandar (Mahārāshtra),19.29,72.85,Mahārāshtra
Karīmnagar (Andhra Pradesh),18.4386,79.1288,Andhra Pradesh
Patiāla (Punjab),30.34,76.38,Punjab
Shīshgarh (Uttar Pradesh),28.72,79.32,Uttar Pradesh
Thiruvananthapuram (Kerala),8.5241,76.9366,Kerala
Durgāpur (West Bengal),23.55,87.32,West Bengal
Bhiwandi (Mahārāshtra),19.2967,73.0631,Mahārāshtra
Bhīlwāra (Rājasthān),25.35,74.63,Rājasthān
Sahāranpur (Uttar Pradesh),29.9639,77.5458,Uttar Pradesh
Warangal (Andhra Pradesh),17.9689,79.5941,Andhra Pradesh
Shiliguri (West Bengal),26.71,88.43,West Bengal
Salem (Tamil Nādu),11.65,78.15,Tamil Nādu
Kochi (Kerala),9.9312,76.2673,Kerala
Gorakhpur (Uttar Pradesh),26.7637,83.4039,Uttar Pradesh
Guntūr (Andhra Pradesh),16.3008,80.4428,Andhra Pradesh
Karaikandi (Assam),24.8309,92.6143,Assam
Haldwāni (Uttarākhand),29.22,79.52,Uttarākhand
Dhūlia (Mahārāshtra),20.8997,74.7697,Mahārāshtra
Bhāvnagar (Gujarāt),21.76,72.15,Gujarāt
Noida (Uttar Pradesh),28.57,77.32,Uttar Pradesh
Bhāngar (West Bengal),22.58,88.42,West Bengal
